хорхе луис борхес | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jorge-Luis-Borges.html 1 
achiev | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Albert-Einstein.html 3 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jane-Austen.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Andre-Gide.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Eleanor-Roosevelt.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Terry-Pratchett.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Helen-Keller.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Mark-Twain.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jimi-Hendrix.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alexandre-Dumas-fils.html 1 
achiev admir | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Eleanor-Roosevelt.html 1 
achiev admir person | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Eleanor-Roosevelt.html 1 
achiev award | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Terry-Pratchett.html 1 
achiev award sir | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Terry-Pratchett.html 1 
achiev fame | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jimi-Hendrix.html 1 
achiev fame usa | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jimi-Hendrix.html 1 
achiev impress | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Helen-Keller.html 1 
achiev impress standard | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Helen-Keller.html 1 
achiev intellectu | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Andre-Gide.html 1 
achiev intellectu honesti | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Andre-Gide.html 1 
achiev origin | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Albert-Einstein.html 3 
achiev origin word | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Albert-Einstein.html 3 
